#
# This file contains the first 61158 Unicode characters. It can be used to inspect the coverage of fonts
#
\u0020 #  
\u016C # Ŭ
\u016D # ŭ
\u016E # Ů
\u016F # ů
\u0170 # Ű
\u0171 # ű
\u0172 # Ų
\u0173 # ų
\u0174 # Ŵ
\u0175 # ŵ
\u0176 # Ŷ
\u0177 # ŷ
\u0178 # Ÿ
\u0179 # Ź
\u017A # ź
\u017B # Ż
\u017C # ż
\u017D # Ž
\u017E # ž
\u017F # ſ
\u0180 # ƀ
\u0181 # Ɓ
\u0182 # Ƃ
\u0183 # ƃ
\u0184 # Ƅ
\u0185 # ƅ
\u0186 # Ɔ
\u0187 # Ƈ
\u0188 # ƈ
\u0189 # Ɖ
\u018A # Ɗ
\u018B # Ƌ
\u018C # ƌ
\u018D # ƍ
\u018E # Ǝ
\u018F # Ə
\u0190 # Ɛ
\u0191 # Ƒ
\u0192 # ƒ
\u0193 # Ɠ
\u0194 # Ɣ
\u0195 # ƕ
\u0196 # Ɩ
\u0197 # Ɨ
\u0198 # Ƙ
\u0199 # ƙ
\u019A # ƚ
\u019B # ƛ
\u019C # Ɯ
\u019D # Ɲ
\u019E # ƞ
\u019F # Ɵ
\u01A0 # Ơ
\u01A1 # ơ
\u01A2 # Ƣ
\u01A3 # ƣ
\u01A4 # Ƥ
\u01A5 # ƥ
\u01A6 # Ʀ
\u01A7 # Ƨ
\u01A8 # ƨ
\u01A9 # Ʃ
\u01AA # ƪ
\u01AB # ƫ
\u01AC # Ƭ
\u01AD # ƭ
\u01AE # Ʈ
\u01AF # Ư
\u01B0 # ư
\u01B1 # Ʊ
\u01B2 # Ʋ
\u01B3 # Ƴ
\u01B4 # ƴ
\u01B5 # Ƶ
\u01B6 # ƶ
\u01B7 # Ʒ
\u01B8 # Ƹ
\u01B9 # ƹ
\u01BA # ƺ
\u01BB # ƻ
\u01BC # Ƽ
\u01BD # ƽ
\u01BE # ƾ
\u01BF # ƿ
\u01C0 # ǀ
\u01C1 # ǁ
\u01C2 # ǂ
\u01C3 # ǃ
\u01C4 # Ǆ
\u01C5 # ǅ
\u01C6 # ǆ
\u01C7 # Ǉ
\u01C8 # ǈ
\u01C9 # ǉ
\u01CA # Ǌ
\u01CB # ǋ
\u01CC # ǌ
\u01CD # Ǎ
\u01CE # ǎ
\u01CF # Ǐ
\u01D0 # ǐ
\u01D1 # Ǒ
\u01D2 # ǒ
\u01D3 # Ǔ
\u01D4 # ǔ
\u01D5 # Ǖ
\u01D6 # ǖ
\u01D7 # Ǘ
\u01D8 # ǘ
\u01D9 # Ǚ
\u01DA # ǚ
\u01DB # Ǜ
\u01DC # ǜ
\u01DD # ǝ
\u01DE # Ǟ
\u01DF # ǟ
\u01E0 # Ǡ
\u01E1 # ǡ
\u01E2 # Ǣ
\u01E3 # ǣ
\u01E4 # Ǥ
\u01E5 # ǥ
\u01E6 # Ǧ
\u01E7 # ǧ
\u01E8 # Ǩ
\u01E9 # ǩ
\u01EA # Ǫ
\u01EB # ǫ
\u01EC # Ǭ
\u01ED # ǭ
\u01EE # Ǯ
\u01EF # ǯ
\u01F0 # ǰ
\u01F1 # Ǳ
\u01F2 # ǲ
\u01F3 # ǳ
\u01F4 # Ǵ
\u01F5 # ǵ
\u01F6 # Ƕ
\u01F7 # Ƿ
\u01F8 # Ǹ
\u01F9 # ǹ
\u01FA # Ǻ
\u01FB # ǻ
\u01FC # Ǽ
\u01FD # ǽ
\u01FE # Ǿ
\u01FF # ǿ
\u0200 # Ȁ
\u0201 # ȁ
\u0202 # Ȃ
\u0203 # ȃ
\u0204 # Ȅ
\u0205 # ȅ
\u0206 # Ȇ
\u0207 # ȇ
\u0208 # Ȉ
\u0209 # ȉ
\u020A # Ȋ
\u020B # ȋ
\u020C # Ȍ
\u020D # ȍ
\u020E # Ȏ
\u020F # ȏ
\u0210 # Ȑ
\u0211 # ȑ
\u0212 # Ȓ
\u0213 # ȓ
\u0214 # Ȕ
\u0215 # ȕ
\u0216 # Ȗ
\u0217 # ȗ
\u0218 # Ș
\u0219 # ș
\u021A # Ț
\u021B # ț
\u021C # Ȝ
\u021D # ȝ
\u021E # Ȟ
\u021F # ȟ
\u0220 # Ƞ
\u0221 # ȡ
\u0222 # Ȣ
\u0223 # ȣ
\u0224 # Ȥ
\u0225 # ȥ
\u0226 # Ȧ
\u0227 # ȧ
\u0228 # Ȩ
\u0229 # ȩ
\u022A # Ȫ
\u022B # ȫ
\u022C # Ȭ
\u022D # ȭ
\u022E # Ȯ
\u022F # ȯ
\u0230 # Ȱ
\u0231 # ȱ
\u0232 # Ȳ
\u0233 # ȳ
\u0234 # ȴ
\u0235 # ȵ
\u0236 # ȶ
\u0237 # ȷ
\u0238 # ȸ
\u0239 # ȹ
\u023A # Ⱥ
\u023B # Ȼ
\u023C # ȼ
\u023D # Ƚ
\u023E # Ⱦ
\u023F # ȿ
\u0240 # ɀ
\u0241 # Ɂ
\u0242 # ɂ
\u0243 # Ƀ
\u0244 # Ʉ
\u0245 # Ʌ
\u0246 # Ɇ
\u0247 # ɇ
\u0248 # Ɉ
\u0249 # ɉ
\u024A # Ɋ
\u024B # ɋ
\u024C # Ɍ
\u024D # ɍ
\u024E # Ɏ
\u024F # ɏ
\u0250 # ɐ
\u0251 # ɑ
\u0252 # ɒ
\u0253 # ɓ
\u0254 # ɔ
\u0255 # ɕ
\u0256 # ɖ
\u0257 # ɗ
\u0258 # ɘ
\u0259 # ə
\u025A # ɚ
\u025B # ɛ
\u025C # ɜ
\u025D # ɝ
\u025E # ɞ
\u025F # ɟ
\u0260 # ɠ
\u0261 # ɡ
\u0262 # ɢ
\u0263 # ɣ
\u0264 # ɤ
\u0265 # ɥ
\u0266 # ɦ
\u0267 # ɧ
\u0268 # ɨ
\u0269 # ɩ
\u026A # ɪ
\u026B # ɫ
\u026C # ɬ
\u026D # ɭ
\u026E # ɮ
\u026F # ɯ
\u0270 # ɰ
\u0271 # ɱ
\u0272 # ɲ
\u0273 # ɳ
\u0274 # ɴ
\u0275 # ɵ
\u0276 # ɶ
\u0277 # ɷ
\u0278 # ɸ
\u0279 # ɹ
\u027A # ɺ
\u027B # ɻ
\u027C # ɼ
\u027D # ɽ
\u027E # ɾ
\u027F # ɿ
\u0280 # ʀ
\u0281 # ʁ
\u0282 # ʂ
\u0283 # ʃ
\u0284 # ʄ
\u0285 # ʅ
\u0286 # ʆ
\u0287 # ʇ
\u0288 # ʈ
\u0289 # ʉ
\u028A # ʊ
\u028B # ʋ
\u028C # ʌ
\u028D # ʍ
\u028E # ʎ
\u028F # ʏ
\u0290 # ʐ
\u0291 # ʑ
\u0292 # ʒ
\u0293 # ʓ
\u0294 # ʔ
\u0295 # ʕ
\u0296 # ʖ
\u0297 # ʗ
\u0298 # ʘ
\u0299 # ʙ
\u029A # ʚ
\u029B # ʛ
\u029C # ʜ
\u029D # ʝ
\u029E # ʞ
\u029F # ʟ
\u02A0 # ʠ
\u02A1 # ʡ
\u02A2 # ʢ
\u02A3 # ʣ
\u02A4 # ʤ
\u02A5 # ʥ
\u02A6 # ʦ
\u02A7 # ʧ
\u02A8 # ʨ
\u02A9 # ʩ
\u02AA # ʪ
\u02AB # ʫ
\u02AC # ʬ
\u02AD # ʭ
\u02AE # ʮ
\u02AF # ʯ
\u02B0 # ʰ
\u02B1 # ʱ
\u02B2 # ʲ
\u02B3 # ʳ
\u02B4 # ʴ
\u02B5 # ʵ
\u02B6 # ʶ
\u02B7 # ʷ
\u02B8 # ʸ
\u02B9 # ʹ
\u02BA # ʺ
\u02BB # ʻ
\u02BC # ʼ
\u02BD # ʽ
\u02BE # ʾ
\u02BF # ʿ
\u02C0 # ˀ
\u02C1 # ˁ
\u02C2 # ˂
\u02C3 # ˃
\u02C4 # ˄
\u02C5 # ˅
\u02C6 # ˆ
\u02C7 # ˇ
\u02C8 # ˈ
\u02C9 # ˉ
\u02CA # ˊ
\u02CB # ˋ
\u02CC # ˌ
\u02CD # ˍ
\u02CE # ˎ
\u02CF # ˏ
\u02D0 # ː
\u02D1 # ˑ
\u02D2 # ˒
\u02D3 # ˓
\u02D4 # ˔
\u02D5 # ˕
\u02D6 # ˖
\u02D7 # ˗
\u02D8 # ˘
\u02D9 # ˙
\u02DA # ˚
\u02DB # ˛
\u02DC # ˜
\u02DD # ˝
\u02DE # ˞
\u02DF # ˟
\u02E0 # ˠ
\u02E1 # ˡ
\u02E2 # ˢ
\u02E3 # ˣ
\u02E4 # ˤ
\u02E5 # ˥
\u02E6 # ˦
\u02E7 # ˧
\u02E8 # ˨
\u02E9 # ˩
\u02EA # ˪
\u02EB # ˫
\u02EC # ˬ
\u02ED # ˭
\u02EE # ˮ
\u02EF # ˯
\u02F0 # ˰
\u02F1 # ˱
\u02F2 # ˲
\u02F3 # ˳
\u02F4 # ˴
\u02F5 # ˵
\u02F6 # ˶
\u02F7 # ˷
\u02F8 # ˸
\u02F9 # ˹
\u02FA # ˺
\u02FB # ˻
\u02FC # ˼
\u02FD # ˽
\u02FE # ˾
\u02FF # ˿
\u0300 # ̀
\u0301 # ́
\u0302 # ̂
\u0303 # ̃
\u0304 # ̄
\u0305 # ̅
\u0306 # ̆
\u0307 # ̇
\u0308 # ̈
\u0309 # ̉
\u030A # ̊
\u030B # ̋
\u030C # ̌
\u030D # ̍
\u030E # ̎
\u030F # ̏
\u0310 # ̐
\u0311 # ̑
\u0312 # ̒
\u0313 # ̓
\u0314 # ̔
\u0315 # ̕
\u0316 # ̖
\u0317 # ̗
\u0318 # ̘
\u0319 # ̙
\u031A # ̚
\u031B # ̛
\u031C # ̜
\u031D # ̝
\u031E # ̞
\u031F # ̟
\u0320 # ̠
\u0321 # ̡
\u0322 # ̢
\u0323 # ̣
\u0324 # ̤
\u0325 # ̥
\u0326 # ̦
\u0327 # ̧
\u0328 # ̨
\u0329 # ̩
\u032A # ̪
\u032B # ̫
\u032C # ̬
\u032D # ̭
\u032E # ̮
\u032F # ̯
\u0330 # ̰
\u0331 # ̱
\u0332 # ̲
\u0333 # ̳
\u0334 # ̴
\u0335 # ̵
\u0336 # ̶
\u0337 # ̷
\u0338 # ̸
\u0339 # ̹
\u033A # ̺
\u033B # ̻
\u033C # ̼
\u033D # ̽
\u033E # ̾
\u033F # ̿
\u0340 # ̀
\u0341 # ́
\u0342 # ͂
\u0343 # ̓
\u0344 # ̈́
\u0345 # ͅ
\u0346 # ͆
\u0347 # ͇
\u0348 # ͈
\u0349 # ͉
\u034A # ͊
\u034B # ͋
\u034C # ͌
\u034D # ͍
\u034E # ͎
\u034F # ͏
\u0350 # ͐
\u0351 # ͑
\u0352 # ͒
\u0353 # ͓
\u0354 # ͔
\u0355 # ͕
\u0356 # ͖
\u0357 # ͗
\u0358 # ͘
\u0359 # ͙
\u035A # ͚
\u035B # ͛
\u035C # ͜
\u035D # ͝
\u035E # ͞
\u035F # ͟
\u0360 # ͠
\u0361 # ͡
\u0362 # ͢
\u0363 # ͣ
\u0364 # ͤ
\u0365 # ͥ
\u0366 # ͦ
\u0367 # ͧ
\u0368 # ͨ
\u0369 # ͩ
\u036A # ͪ
\u036B # ͫ
\u036C # ͬ
\u036D # ͭ
\u036E # ͮ
\u036F # ͯ
\u0370 # Ͱ
\u0371 # ͱ
\u0372 # Ͳ
\u0373 # ͳ
\u0374 # ʹ
\u0375 # ͵
\u0376 # Ͷ
\u0377 # ͷ
\u0378 # ͸
\u0379 # ͹
\u037A # ͺ
\u037B # ͻ
\u037C # ͼ
\u037D # ͽ
\u037E # ;
\u037F # Ϳ
\u0380 # ΀
\u0381 # ΁
\u0382 # ΂
\u0383 # ΃
\u0384 # ΄
\u0385 # ΅
\u0386 # Ά
\u0387 # ·
\u0388 # Έ
\u0389 # Ή
\u038A # Ί
\u038B # ΋
\u038C # Ό
\u038D # ΍
\u038E # Ύ
\u038F # Ώ
\u0390 # ΐ
\u0391 # Α
\u0392 # Β
\u0393 # Γ
\u0394 # Δ
\u0395 # Ε
\u0396 # Ζ
\u0397 # Η
\u0398 # Θ
\u0399 # Ι
\u039A # Κ
\u039B # Λ
\u039C # Μ
\u039D # Ν
\u039E # Ξ
\u039F # Ο
\u03A0 # Π
\u03A1 # Ρ
\u03A2 # ΢
\u03A3 # Σ
\u03A4 # Τ
\u03A5 # Υ
\u03A6 # Φ
\u03A7 # Χ
\u03A8 # Ψ
\u03A9 # Ω
\u03AA # Ϊ
\u03AB # Ϋ
\u03AC # ά
\u03AD # έ
\u03AE # ή
\u03AF # ί
\u03B0 # ΰ
\u03B1 # α
\u03B2 # β
\u03B3 # γ
\u03B4 # δ
\u03B5 # ε
\u03B6 # ζ
\u03B7 # η
\u03B8 # θ
\u03B9 # ι
\u03BA # κ
\u03BB # λ
\u03BC # μ
\u03BD # ν
\u03BE # ξ
\u03BF # ο
\u03C0 # π
\u03C1 # ρ
\u03C2 # ς
\u03C3 # σ
\u03C4 # τ
\u03C5 # υ
\u03C6 # φ
\u03C7 # χ
\u03C8 # ψ
\u03C9 # ω
\u03CA # ϊ
\u03CB # ϋ
\u03CC # ό
\u03CD # ύ
\u03CE # ώ
\u03CF # Ϗ
\u03D0 # ϐ
\u03D1 # ϑ
\u03D2 # ϒ
\u03D3 # ϓ
\u03D4 # ϔ
\u03D5 # ϕ
\u03D6 # ϖ
\u03D7 # ϗ
\u03D8 # Ϙ
\u03D9 # ϙ
\u03DA # Ϛ
\u03DB # ϛ
\u03DC # Ϝ
\u03DD # ϝ
\u03DE # Ϟ
\u03DF # ϟ
\u03E0 # Ϡ
\u03E1 # ϡ
\u03E2 # Ϣ
\u03E3 # ϣ
\u03E4 # Ϥ
\u03E5 # ϥ
\u03E6 # Ϧ
\u03E7 # ϧ
\u03E8 # Ϩ
\u03E9 # ϩ
\u03EA # Ϫ
\u03EB # ϫ
\u03EC # Ϭ
\u03ED # ϭ
\u03EE # Ϯ
\u03EF # ϯ
\u03F0 # ϰ
\u03F1 # ϱ
\u03F2 # ϲ
\u03F3 # ϳ
\u03F4 # ϴ
\u03F5 # ϵ
\u03F6 # ϶
\u03F7 # Ϸ
\u03F8 # ϸ
\u03F9 # Ϲ
\u03FA # Ϻ
\u03FB # ϻ
\u03FC # ϼ
\u03FD # Ͻ
\u03FE # Ͼ
\u03FF # Ͽ
\u0400 # Ѐ
\u0401 # Ё
\u0402 # Ђ
\u0403 # Ѓ
\u0404 # Є
\u0405 # Ѕ
\u0406 # І
\u0407 # Ї
\u0408 # Ј
\u0409 # Љ
\u040A # Њ
\u040B # Ћ
\u040C # Ќ
\u040D # Ѝ
\u040E # Ў
\u040F # Џ
\u0410 # А
\u0411 # Б
\u0412 # В
\u0413 # Г
\u0414 # Д
\u0415 # Е
\u0416 # Ж
\u0417 # З
\u0418 # И
\u0419 # Й
\u041A # К
\u041B # Л
\u041C # М
\u041D # Н
\u041E # О
\u041F # П
\u0420 # Р
\u0421 # С
\u0422 # Т
\u0423 # У
\u0424 # Ф
\u0425 # Х
\u0426 # Ц
\u0427 # Ч
\u0428 # Ш
\u0429 # Щ
\u042A # Ъ
\u042B # Ы
\u042C # Ь
\u042D # Э
\u042E # Ю
\u042F # Я
\u0430 # а
\u0431 # б
\u0432 # в
\u0433 # г
\u0434 # д
\u0435 # е
\u0436 # ж
\u0437 # з
\u0438 # и
\u0439 # й
\u043A # к
\u043B # л
\u043C # м
\u043D # н
\u043E # о
\u043F # п
\u0440 # р
\u0441 # с
\u0442 # т
\u0443 # у
\u0444 # ф
\u0445 # х
\u0446 # ц
\u0447 # ч
\u0448 # ш
\u0449 # щ
\u044A # ъ
\u044B # ы
\u044C # ь
\u044D # э
\u044E # ю
\u044F # я
\u0450 # ѐ
\u0451 # ё
\u0452 # ђ
\u0453 # ѓ
\u0454 # є
\u0455 # ѕ
\u0456 # і
\u0457 # ї
\u0458 # ј
\u0459 # љ
\u045A # њ
\u045B # ћ
\u045C # ќ
\u045D # ѝ
\u045E # ў
\u045F # џ
\u0460 # Ѡ
\u0461 # ѡ
\u0462 # Ѣ
\u0463 # ѣ
\u0464 # Ѥ
\u0465 # ѥ
\u0466 # Ѧ
\u0467 # ѧ
\u0468 # Ѩ
\u0469 # ѩ
\u046A # Ѫ
\u046B # ѫ
\u046C # Ѭ
\u046D # ѭ
\u046E # Ѯ
\u046F # ѯ
\u0470 # Ѱ
\u0471 # ѱ
\u0472 # Ѳ
\u0473 # ѳ
\u0474 # Ѵ
\u0475 # ѵ
\u0476 # Ѷ
\u0477 # ѷ
\u0478 # Ѹ
\u0479 # ѹ
\u047A # Ѻ
\u047B # ѻ
\u047C # Ѽ
\u047D # ѽ
\u047E # Ѿ
\u047F # ѿ
\u0480 # Ҁ
\u0481 # ҁ
\u0482 # ҂
\u0483 # ҃
\u0484 # ҄
\u0485 # ҅
\u0486 # ҆
\u0487 # ҇
\u0488 # ҈
\u0489 # ҉
\u048A # Ҋ
\u048B # ҋ
\u048C # Ҍ
\u048D # ҍ
\u048E # Ҏ
\u048F # ҏ
\u0490 # Ґ
\u0491 # ґ
\u0492 # Ғ
\u0493 # ғ
\u0494 # Ҕ
\u0495 # ҕ
\u0496 # Җ
\u0497 # җ
\u0498 # Ҙ
\u0499 # ҙ
\u049A # Қ
\u049B # қ
\u049C # Ҝ
\u049D # ҝ
\u049E # Ҟ
\u049F # ҟ
\u04A0 # Ҡ
\u04A1 # ҡ
\u04A2 # Ң
\u04A3 # ң
\u04A4 # Ҥ
\u04A5 # ҥ
\u04A6 # Ҧ
\u04A7 # ҧ
\u04A8 # Ҩ
\u04A9 # ҩ
\u04AA # Ҫ
\u04AB # ҫ
\u04AC # Ҭ
\u04AD # ҭ
\u04AE # Ү
\u04AF # ү
\u04B0 # Ұ
\u04B1 # ұ
\u04B2 # Ҳ
\u04B3 # ҳ
\u04B4 # Ҵ
\u04B5 # ҵ
\u04B6 # Ҷ
\u04B7 # ҷ
\u04B8 # Ҹ
\u04B9 # ҹ
\u04BA # Һ
\u04BB # һ
\u04BC # Ҽ
\u04BD # ҽ
\u04BE # Ҿ
\u04BF # ҿ
\u04C0 # Ӏ
\u04C1 # Ӂ
\u04C2 # ӂ
\u04C3 # Ӄ
\u04C4 # ӄ
\u04C5 # Ӆ
\u04C6 # ӆ
\u04C7 # Ӈ
\u04C8 # ӈ
\u04C9 # Ӊ
\u04CA # ӊ
\u04CB # Ӌ
\u04CC # ӌ
\u04CD # Ӎ
\u04CE # ӎ
\u04CF # ӏ
\u04D0 # Ӑ
\u04D1 # ӑ
\u04D2 # Ӓ
\u04D3 # ӓ
\u04D4 # Ӕ
\u04D5 # ӕ
\u04D6 # Ӗ
\u04D7 # ӗ
\u04D8 # Ә
\u04D9 # ә
\u04DA # Ӛ
\u04DB # ӛ
\u04DC # Ӝ
\u04DD # ӝ
\u04DE # Ӟ
\u04DF # ӟ
\u04E0 # Ӡ
\u04E1 # ӡ
\u04E2 # Ӣ
\u04E3 # ӣ
\u04E4 # Ӥ
\u04E5 # ӥ
\u04E6 # Ӧ
\u04E7 # ӧ
\u04E8 # Ө
\u04E9 # ө
\u04EA # Ӫ
\u04EB # ӫ
\u04EC # Ӭ
\u04ED # ӭ
\u04EE # Ӯ
\u04EF # ӯ
\u04F0 # Ӱ
\u04F1 # ӱ
\u04F2 # Ӳ
\u04F3 # ӳ
\u04F4 # Ӵ
\u04F5 # ӵ
\u04F6 # Ӷ
\u04F7 # ӷ
\u04F8 # Ӹ
\u04F9 # ӹ
\u04FA # Ӻ
\u04FB # ӻ
\u04FC # Ӽ
\u04FD # ӽ
\u04FE # Ӿ
\u04FF # ӿ
\u0500 # Ԁ
\u0501 # ԁ
\u0502 # Ԃ
\u0503 # ԃ
\u0504 # Ԅ
\u0505 # ԅ
\u0506 # Ԇ
\u0507 # ԇ
\u0508 # Ԉ
\u0509 # ԉ
\u050A # Ԋ
\u050B # ԋ
\u050C # Ԍ
\u050D # ԍ
\u050E # Ԏ
\u050F # ԏ
\u0510 # Ԑ
\u0511 # ԑ
\u0512 # Ԓ
\u0513 # ԓ
\u0514 # Ԕ
\u0515 # ԕ
\u0516 # Ԗ
\u0517 # ԗ
\u0518 # Ԙ
\u0519 # ԙ
\u051A # Ԛ
\u051B # ԛ
\u051C # Ԝ
\u051D # ԝ
\u051E # Ԟ
\u051F # ԟ
\u0520 # Ԡ
\u0521 # ԡ
\u0522 # Ԣ
\u0523 # ԣ
\u0524 # Ԥ
\u0525 # ԥ
\u0526 # Ԧ
\u0527 # ԧ
\u0528 # Ԩ
\u0529 # ԩ
\u052A # Ԫ
\u052B # ԫ
\u052C # Ԭ
\u052D # ԭ
\u052E # Ԯ
\u052F # ԯ
\u0530 # ԰
\u0531 # Ա
\u0532 # Բ
\u0533 # Գ
\u0534 # Դ
\u0535 # Ե
\u0536 # Զ
\u0537 # Է
\u0538 # Ը
\u0539 # Թ
\u053A # Ժ
\u053B # Ի
\u053C # Լ
\u053D # Խ
\u053E # Ծ
\u053F # Կ
\u0540 # Հ
\u0541 # Ձ
\u0542 # Ղ
\u0543 # Ճ
\u0544 # Մ
\u0545 # Յ
\u0546 # Ն
\u0547 # Շ
\u0548 # Ո
\u0549 # Չ
\u054A # Պ
\u054B # Ջ
\u054C # Ռ
\u054D # Ս
\u054E # Վ
\u054F # Տ
\u0550 # Ր
\u0551 # Ց
\u0552 # Ւ
\u0553 # Փ
\u0554 # Ք
\u0555 # Օ
\u0556 # Ֆ
\u0557 # ՗
\u0558 # ՘
\u0559 # ՙ
\u055A # ՚
\u055B # ՛
\u055C # ՜
\u055D # ՝
\u055E # ՞
\u055F # ՟
\u0560 # ՠ
\u0561 # ա
\u0562 # բ
\u0563 # գ
\u0564 # դ
\u0565 # ե
\u0566 # զ
\u0567 # է
\u0568 # ը
